company_name,uen_no,class,class_code,additional_info,expiry_date,building_no,street_name,unit_no,building_name,postal_code,tel_no
E.ID PROJECTS PTE. LTD.,200906265H,General Builder Class 2,GB2,na,15/5/17,73,WOODLANDS INDUSTRIAL PARK E2,na,NORDIX,757483,63657737
E3 CONSTRUCTION PTE LTD,199906747D,General Builder Class 2,GB2,na,27/1/18,114,ANG MO KIO AVENUE 4,#01-353,na,560114,65525055
E3 SERVICES PTE. LTD.,199406175N,General Builder Class 2,GB2,na,15/5/19,2,JURONG EAST STREET 21,#05-07,IMM BUILDING,609601,65665055
EAC CORPORATION PTE. LTD.,198001580H,General Builder Class 1,GB1,na,16/6/18,207,HENDERSON ROAD,#01-01,na,159550,62736638
EAC GIFTBUILD PTE. LTD.,198802905E,General Builder Class 2,GB2,na,16/6/18,207,HENDERSON ROAD,#03-01,HENDERSON INDUSTRIAL PARK,159550,62736638
EARTH CONSTRUCTION & TRADING PTE LTD,201120420G,General Builder Class 2,GB2,na,16/6/18,102,YISHUN AVENUE 5,#02-123,na,760102,64820327
EARTH CONTRACTS PTE. LTD.,201207237H,General Builder Class 2,GB2,na,21/8/18,180,WOODLANDS INDUSTRIAL PARK E7,na,na,757876,63635611
EARTH ENGINEERING PTE. LTD.,200003569N,General Builder Class 2,GB2,na,4/6/18,3007,UBI ROAD 1,#06-424,na,408701,67433766
EARTH ENGINEERING PTE. LTD.,201210116C,Specialist Builder (Ground Support and Stabilisation Works),SB(GS),na,4/6/18,3007,UBI ROAD 1,#06-424,na,408701,67433766
EARTH ENGINEERING PTE. LTD.,201541167W,Specialist Builder (Piling Works),SB(PW),na,4/6/18,3007,UBI ROAD 1,#06-424,na,408701,67433766
EAST ASIA ENGINEERING & CONSTRUCTION PTE. LTD.,200900688G,General Builder Class 1,GB1,na,18/1/17,BLOCK 10,NORTH BRIDGE ROAD,#02-5117,na,190010,63924905
EAST MARINE PTE LTD,200402742Z,General Builder Class 1,GB1,na,16/6/18,1,BENOI ROAD,na,na,629875,67781400
EASTERN CONTINENT CONSTRUCTION PTE LTD,198801570E,General Builder Class 1,GB1,na,16/6/18,27,PANDAN CRESCENT,na,na,128476,64874646
EASTERN FURNISHING & TRADING PTE. LTD.,200819367H,General Builder Class 2,GB2,na,15/5/17,10,WOODLANDS WALK,na,na,738396,64827128
EASTERN GREEN POWER PTE. LTD.,200500147W,General Builder Class 1,GB1,na,28/7/18,31,MANDAI ESTATE,#04-06,INNOVATION PLACE,729933,63681155
EASTERN PRETECH PTE LTD,201005995E,Specialist Builder (Pre-cast Concrete Work),SB(PC),na,16/6/18,15,SUNGEI KADUT STREET 2,na,na,729234,63681366
EASTERN TUNNELLING PTE. LTD.,199901158W,General Builder Class 2,GB2,na,9/9/16,3,Sungei Kadut Avenue,na,na,729640,67571737
